epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.346,2.09281,2.95305,2.09903,0.21218,0.21559,0.11593,0.04232,2.03857,3.50265,2.10169,0.000550054,0.000550054,0.000550054
2,715.912,2.11903,2.81187,2.10596,0.2016,0.20249,0.10154,0.04,2.31048,3.76023,2.22992,0.00108383,0.00108383,0.00108383
3,1058.3,2.16777,2.75128,2.15069,0.12661,0.10596,0.06717,0.02574,2.32752,4.21621,2.46365,0.0015956,0.0015956,0.0015956
4,1400.48,2.11772,2.77608,2.16677,0.20275,0.14136,0.10954,0.04352,2.20429,3.5363,2.29232,0.00156798,0.00156798,0.00156798
5,1743.62,2.14297,2.70579,2.15202,0.1551,0.11304,0.08031,0.02539,2.45212,3.62189,2.34631,0.00153497,0.00153497,0.00153497
6,2133.29,2.09922,2.68225,2.13832,0.30999,0.21965,0.15827,0.05972,2.16953,3.07005,2.1874,0.00150197,0.00150197,0.00150197
7,2557.89,2.07753,2.63158,2.1204,0.43753,0.18619,0.14408,0.05901,2.11619,2.97987,2.15575,0.00146896,0.00146896,0.00146896
8,2982.59,2.0615,2.62193,2.10856,0.26056,0.24196,0.18815,0.08903,2.15984,2.76323,2.17528,0.00143595,0.00143595,0.00143595
9,3362.24,2.0199,2.52224,2.06971,0.29579,0.27456,0.19502,0.08801,2.02152,2.68805,2.07296,0.00140295,0.00140295,0.00140295
10,3731.7,2.02666,2.52396,2.04905,0.30232,0.2396,0.18133,0.08332,2.04519,2.77291,2.08996,0.00136994,0.00136994,0.00136994
11,4168.12,2.00007,2.48083,2.06594,0.32082,0.22801,0.18166,0.08175,2.09254,2.82179,2.04807,0.00133693,0.00133693,0.00133693
12,4543.69,1.99164,2.48,2.04993,0.32261,0.28828,0.22252,0.0967,2.00015,2.58824,2.04204,0.00130393,0.00130393,0.00130393
13,4879.7,1.96217,2.42548,2.03247,0.39976,0.25354,0.20905,0.09875,2.05852,2.69053,2.1094,0.00127092,0.00127092,0.00127092
14,5213.86,1.94464,2.44228,2.0043,0.41208,0.26684,0.22167,0.09648,2.01867,2.6328,2.06021,0.00123791,0.00123791,0.00123791
15,5548.88,1.93102,2.38647,1.99524,0.35741,0.29429,0.22552,0.10432,2.00915,2.6293,2.03989,0.00120491,0.00120491,0.00120491
16,5883.17,1.91608,2.3467,1.98802,0.34966,0.34382,0.25991,0.11393,2.01066,2.54996,2.06792,0.0011719,0.0011719,0.0011719
17,6217.51,1.89153,2.3419,1.97982,0.32571,0.32475,0.24732,0.10907,2.03102,2.50767,2.04699,0.00113889,0.00113889,0.00113889
18,6552.53,1.94597,2.31944,1.98983,0.3668,0.22052,0.20078,0.09093,1.99796,2.63893,2.04452,0.00110589,0.00110589,0.00110589
19,6887.23,1.86962,2.24893,1.95606,0.32507,0.32966,0.25047,0.11515,1.93297,2.45895,1.97461,0.00107288,0.00107288,0.00107288
20,7222.6,1.82536,2.3082,1.91769,0.43185,0.27585,0.25181,0.11368,1.96907,2.56674,2.03022,0.00103987,0.00103987,0.00103987
21,7557.38,1.8389,2.21444,1.90007,0.33666,0.29837,0.24219,0.10488,1.93027,2.58211,2.0152,0.00100687,0.00100687,0.00100687
22,7891.96,1.86669,2.18352,1.92488,0.39994,0.29043,0.25001,0.11643,1.9645,2.54309,2.02212,0.000973861,0.000973861,0.000973861
23,8226.78,1.82701,2.12576,1.88413,0.41706,0.32261,0.28576,0.13756,1.94128,2.36289,1.98755,0.000940855,0.000940855,0.000940855
24,8561.91,1.81425,2.1145,1.91011,0.35135,0.29837,0.27956,0.14089,1.8761,2.45829,1.95282,0.000907848,0.000907848,0.000907848
25,8897.12,1.79722,2.09357,1.88421,0.53831,0.24389,0.27093,0.12741,1.99502,2.46942,2.02102,0.000874842,0.000874842,0.000874842
26,9232.33,1.80218,2.07895,1.84673,0.3928,0.36822,0.28847,0.14378,1.93066,2.45712,1.97482,0.000841835,0.000841835,0.000841835
27,9566.96,1.77636,2.03492,1.85315,0.49803,0.29132,0.28511,0.13668,1.91876,2.45073,1.96884,0.000808828,0.000808828,0.000808828
28,9901.25,1.73904,2.00345,1.82155,0.40349,0.43007,0.33779,0.15901,1.91186,2.31165,1.95074,0.000775822,0.000775822,0.000775822
29,10235.7,1.71769,1.95761,1.81418,0.39768,0.35607,0.30203,0.13525,1.93095,2.3162,1.98702,0.000742815,0.000742815,0.000742815
30,10569.5,1.71876,1.94317,1.80823,0.36017,0.3831,0.27558,0.13117,1.87505,2.50569,1.96147,0.000709809,0.000709809,0.000709809
31,10903.8,1.70327,1.89838,1.79078,0.39658,0.36915,0.30991,0.14937,1.89701,2.30147,1.9327,0.000676802,0.000676802,0.000676802
32,11237.3,1.70069,1.89355,1.79874,0.4155,0.33912,0.30502,0.13839,1.91075,2.34461,1.95437,0.000643795,0.000643795,0.000643795
33,11571.5,1.70273,1.87709,1.7754,0.40241,0.36285,0.3076,0.14649,1.89848,2.27743,1.96482,0.000610789,0.000610789,0.000610789
34,11905.6,1.66621,1.84092,1.76337,0.47477,0.32569,0.32182,0.14776,1.86236,2.29517,1.89647,0.000577782,0.000577782,0.000577782
35,12239.1,1.69751,1.84306,1.77899,0.4107,0.31103,0.28308,0.13661,1.88786,2.32827,1.93504,0.000544776,0.000544776,0.000544776
36,12573,1.65814,1.80834,1.74942,0.44294,0.38647,0.35618,0.16823,1.89712,2.27625,1.95153,0.000511769,0.000511769,0.000511769
37,12907.1,1.64059,1.78436,1.72714,0.44736,0.36551,0.32174,0.1605,1.86713,2.21092,1.90659,0.000478762,0.000478762,0.000478762
38,13240.9,1.6242,1.75266,1.70035,0.44168,0.36322,0.32564,0.14832,1.86876,2.25279,1.92213,0.000445756,0.000445756,0.000445756
39,13574,1.6114,1.71437,1.71913,0.43446,0.36106,0.31011,0.15333,1.86876,2.24061,1.90674,0.000412749,0.000412749,0.000412749
40,13907.6,1.59987,1.71355,1.70422,0.48222,0.36421,0.34803,0.16388,1.85254,2.19989,1.90444,0.000379743,0.000379743,0.000379743
41,14238.5,1.60539,1.72856,1.77078,0.38966,0.36744,0.30633,0.14157,1.89969,2.32947,1.96693,0.000346736,0.000346736,0.000346736
42,14570.1,1.60259,1.6552,1.76081,0.4014,0.38465,0.32269,0.15369,1.89438,2.2537,1.9336,0.000313729,0.000313729,0.000313729
43,14900.9,1.56146,1.63822,1.72993,0.39787,0.41541,0.33424,0.16171,1.83892,2.2261,1.89744,0.000280723,0.000280723,0.000280723
44,15231.3,1.53533,1.5785,1.7072,0.42199,0.40583,0.31554,0.15579,1.8431,2.24062,1.88553,0.000247716,0.000247716,0.000247716
45,15562.3,1.51432,1.55499,1.69814,0.42574,0.40583,0.33221,0.16247,1.85632,2.19053,1.91508,0.00021471,0.00021471,0.00021471
46,15893.3,1.51998,1.54743,1.69316,0.51889,0.37044,0.33855,0.15976,1.85745,2.22224,1.90563,0.000181703,0.000181703,0.000181703
